"latestdataforgrade","schoolyearstart","schoolyearend","locationabbr","topic","grade","indicator","datasource","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_interval","high_confidence_interval","confidence_interval_footnote_symbol","confidence_interval_footnote","sample_size","response_rate","response_rate_footnote_symbol","response_rate_footnote","adjusted_for_nonresponse","percent_eligible_for_the_nslp_sampleschools","nslp_sampleschools_footnote_symbol","nslp_sampleschools_footnote","percent_eligible_for_the_nslp_samplestudents","nslp_samplestudents_footnote_symbol","nslp_samplestudents_footnote","percent_eligible_for_the_nslp_state","nslp_state_footnote_symbol","nslp_state_footnote","locationdesc","locationid","geolocation","gradeid","sortgradeid","indicatorid"
"Yes","2011","2013","AL","Child","Kindergarten","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","43.1",,,"38.7","47.5",,,"4953","88",,,"Yes","60",,,,"NC","Not Collected","60",,,"Alabama","01","
,  
(32.84057112200048, -86.63186076199969)","KGRADE","02","CHD1_1"
"Yes","2011","2013","AL","Child","Kindergarten","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","19.7",,,"16.8","22.5",,,"4953","88",,,"Yes","60",,,,"NC","Not Collected","60",,,"Alabama","01","
,  
(32.84057112200048, -86.63186076199969)","KGRADE","02","CHD1_3"
"Yes","2011","2013","AL","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","57.6",,,"54.2","61.0",,,"4104","83",,,"Yes","60",,,,"NC","Not Collected","60",,,"Alabama","01","
,  
(32.84057112200048, -86.63186076199969)","3GRADE","05","CHD1_1"
"Yes","2011","2013","AL","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","21.3",,,"18.8","23.8",,,"4104","83",,,"Yes","60",,,,"NC","Not Collected","60",,,"Alabama","01","
,  
(32.84057112200048, -86.63186076199969)","3GRADE","05","CHD1_3"
"Yes","2011","2013","AL","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","29.0",,,"25.7","32.4",,,"4104","83",,,"Yes","60",,,,"NC","Not Collected","60",,,"Alabama","01","
,  
(32.84057112200048, -86.63186076199969)","3GRADE","05","CHD1_2"
"Yes","2010","2011","AK","Child","Kindergarten","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","41.4",,,"37.6","45.3",,,"648","45",,,"No","44",,,,"NC","Not Collected","49",,,"Alaska","02","
,  
(64.84507995700051, -147.72205903599973)","KGRADE","02","CHD1_1"
"Yes","2010","2011","AK","Child","Kindergarten","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","21.3",,,"18.2","24.7",,,"648","45",,,"No","44",,,,"NC","Not Collected","49",,,"Alaska","02","
,  
(64.84507995700051, -147.72205903599973)","KGRADE","02","CHD1_3"
"Yes","2010","2011","AK","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","23.9",,,"20.6","27.5",,,"628","46",,,"No","44",,,,"NC","Not Collected","49",,,"Alaska","02","
,  
(64.84507995700051, -147.72205903599973)","3GRADE","05","CHD1_3"
"Yes","2010","2011","AK","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","61.6",,,"57.7","65.4",,,"628","46",,,"No","44",,,,"NC","Not Collected","49",,,"Alaska","02","
,  
(64.84507995700051, -147.72205903599973)","3GRADE","05","CHD1_1"
"Yes","2010","2011","AK","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","46.8",,,"42.9","50.8",,,"628","46",,,"No","44",,,,"NC","Not Collected","49",,,"Alaska","02","
,  
(64.84507995700051, -147.72205903599973)","3GRADE","05","CHD1_2"
